ticker,exchange,assetType,priceCurrency,startDate,endDate
TFBAX,NMFQS,Mutual Fund,USD,2020-02-19,2020-06-29
TFBBX,NMFQS,Mutual Fund,USD,,
TFBCX,NMFQS,Mutual Fund,USD,2020-02-19,2020-06-29
TFBFX,NMFQS,Mutual Fund,USD,,
TFBGX,NMFQS,Mutual Fund,USD,,
TFBIX,NMFQS,Mutual Fund,USD,2017-07-17,2020-06-29
TFBN,PINK,Stock,USD,2017-10-09,2020-06-17
TFBRX,NMFQS,Mutual Fund,USD,2020-02-19,2020-06-29
TFBVX,NMFQS,Mutual Fund,USD,2017-07-17,2020-06-29
TFBYX,NMFQS,Mutual Fund,USD,2020-02-19,2020-06-29
TFC,NYSE,Stock,USD,1990-03-26,2020-06-29
TFC-P-F,NYSE,Stock,USD,2012-10-26,2020-06-29
TFC-P-G,NYSE,Stock,USD,2013-04-30,2020-06-29
